Strat,F(x),Average,Std. Deviation,Range,Median,Min
1,1,3572.955838,339.407511,1772.596900,3571.036100,2521.119200
1,10,-12930.667140,819.250093,3979.397000,-12899.639500,-15614.144000
1,11,-9375.612240,854.251139,3521.983800,-8821.063300,-11226.203000
1,12,5.058910,1.038130,5.204490,4.987010,2.628693
1,13,-15.926405,0.665445,3.138022,-15.895918,-17.563970
1,14,-4.898947,0.583743,2.508132,-4.825095,-6.279845
1,15,43635.679780,23424.970662,111182.305000,40216.229000,10654.485000
1,16,1.437221,0.327411,1.301193,1.429029,0.882682
1,17,131.855606,30.434384,145.097630,131.082885,62.111600
1,18,82.797100,13.608383,66.819015,82.362499,41.265055
1,2,93.762941,27.603322,151.488709,73.138743,40.818201
1,3,304950.859880,193170.447372,1029141.322000,263284.025000,73813.378000
1,4,-28394.978420,4154.844788,19349.394000,-28171.759500,-39278.303000
1,5,1.528293,0.125937,0.661025,1.531742,1.252265
1,6,-35.458027,0.431375,2.057498,-35.451581,-36.526326
1,7,42.225057,1.229822,6.355837,42.439744,38.128387
1,8,-10.624250,7.179966,27.925846,-17.658560,-22.413002
1,9,102.490700,8.274664,37.152857,110.217635,80.830643
10,1,6101.297886,455.979560,1737.935800,6210.205300,5164.840300
10,10,-7852.739600,697.861474,3357.987500,-7661.505500,-10074.074000
10,11,-7845.505110,912.143661,4226.301700,-7852.775450,-10009.335000
10,12,5.149369,1.122763,6.996698,5.334311,0.499994
10,13,-9.688291,0.720009,3.774599,-9.285070,-12.333842
10,14,-2.046033,0.212399,0.897425,-2.043518,-2.581227
10,15,611982508.200000,192241588.389299,764983860.000000,561385045.000000,245587540.000000
10,16,89.767469,16.437695,85.472809,74.612156,43.927591
10,17,19482.206620,2972.640642,15177.699000,19682.296000,13070.129000
10,18,388.590391,28.579648,134.597490,394.518335,302.488720
10,2,19566.817120,2623.278725,9797.180000,20015.626000,14504.130000
10,3,4528202408.000000,1419008590.647301,6202405000.000000,4529514600.000000,1654435000.000000
10,4,513991.388000,87496.101054,371162.320000,513430.990000,319251.630000
10,5,128.800719,20.540684,93.640817,134.450370,83.258653
10,6,-27.648863,0.565602,2.885725,-27.588991,-29.351310
10,7,65.160525,2.740572,13.303530,65.450277,56.809604
10,8,237.985265,24.945277,114.286810,239.751625,173.442950
10,9,457.956005,11.250802,51.910930,459.135445,433.931790
2,1,4176.339812,250.088700,1463.622700,4213.046200,3515.162100
2,10,-11918.664000,553.323090,2846.651000,-11823.997000,-13815.106000
2,11,-8717.286510,517.750093,2269.633300,-8588.597750,-10110.894000
2,12,5.502796,0.704626,3.235268,5.620032,4.051463
2,13,-15.091428,0.534248,2.033095,-15.049897,-16.236391
2,14,-3.702234,0.392492,1.795295,-3.706538,-4.642855
2,15,9192726.384000,3019545.143859,14144416.500000,6962650.500000,5130936.500000
2,16,11.124236,1.976245,8.654102,13.151098,7.566304
2,17,2229.659898,381.479959,1907.381600,2249.577750,1558.285800
2,18,128.791067,14.619064,71.076082,132.054955,94.881718
2,2,2106.449996,369.847726,1422.811800,2033.969750,1441.518200
2,3,60706237.580000,25089958.389937,145525201.000000,59094934.500000,17942519.000000
2,4,45957.043920,12546.896721,52910.443000,46006.828500,18490.810000
2,5,14.185619,2.687136,13.684163,13.826807,9.762346
2,6,-33.997062,0.679522,3.211466,-33.904291,-35.878360
2,7,42.871400,1.457820,6.970011,42.952841,38.753613
2,8,51.558097,9.898957,38.930480,51.404328,31.843067
2,9,234.049041,16.420890,60.651420,235.111335,201.337000
3,1,5424.066052,404.519474,1779.438900,5519.543650,4343.564500
3,10,-10739.181674,593.642669,3093.108400,-10790.802000,-12611.677000
3,11,-7242.740294,423.046125,1790.345300,-7115.453350,-8454.094500
3,12,9.820167,0.590303,2.683575,8.913140,8.274083
3,13,-16.180519,0.643269,2.932933,-16.262771,-17.823892
3,14,-4.560092,0.518063,2.844096,-4.475844,-6.437441
3,15,67614.127200,31949.762311,150805.329000,51034.640500,24150.131000
3,16,2.279456,0.588782,3.052831,2.164078,1.611912
3,17,234.507617,40.183668,202.117980,229.536835,136.709460
3,18,88.835087,11.214049,53.562117,86.037508,64.678963
3,2,171.582615,41.772494,227.375729,173.460895,84.616891
3,3,520226.971600,225380.604494,1134241.470000,481481.700000,132536.330000
3,4,-25416.008180,4972.871418,23562.683000,-25361.364000,-37853.472000
3,5,2.073815,0.241146,1.238176,2.033271,1.535878
3,6,-35.677879,0.601260,2.240646,-35.478402,-36.983679
3,7,40.489141,1.211136,5.385799,40.561214,37.604952
3,8,-0.004036,6.079447,31.395529,4.202431,-18.918558
3,9,141.616653,11.168984,57.684710,142.482500,115.299000
4,1,4192.132862,392.614103,1587.299000,4243.864550,3313.337800
4,10,-12277.005800,645.515575,2731.213000,-12285.215000,-13844.727000
4,11,-9995.469330,922.604328,3971.902900,-11578.067000,-12033.352000
4,12,4.335402,0.634429,3.276778,4.334112,2.689650
4,13,-14.648184,0.610434,3.165162,-14.599911,-16.701453
4,14,-3.198390,0.461884,2.210457,-3.149828,-4.565011
4,15,8658983.204000,3325287.753153,17543205.700000,5876402.750000,1773855.300000
4,16,13.498994,2.538614,12.053043,14.491033,7.843859
4,17,2137.305628,343.096338,1411.919200,2181.628500,1442.909500
4,18,154.279555,15.629185,70.540120,155.876040,111.547740
4,2,1939.708454,407.224794,1675.418800,1990.820300,1190.945700
4,3,57577200.660000,22134638.426176,91138265.000000,55376571.000000,14681815.000000
4,4,41970.150440,12387.082348,54190.870000,42919.912000,16036.491000
4,5,13.182469,2.587768,12.069974,14.621217,8.101129
4,6,-33.557407,0.593941,2.626704,-33.550009,-34.802259
4,7,44.071142,1.634648,7.530411,44.464854,39.740925
4,8,56.253170,8.527890,43.052488,57.248374,35.327270
4,9,262.235252,15.283150,75.351800,262.521330,215.762040
5,1,4073.104038,241.710030,903.241400,4061.623350,3590.732500
5,10,-11892.953000,547.622236,2279.027000,-11823.364000,-13283.210000
5,11,-9523.539138,589.746082,2726.332600,-9155.685550,-11301.840000
5,12,4.599282,0.527331,2.641907,4.505049,3.305655
5,13,-14.002478,0.417786,1.872283,-14.009798,-14.929294
5,14,-3.051906,0.407846,2.013185,-3.044214,-4.161728
5,15,63303827.340000,18118195.838655,76301744.000000,62570476.000000,28656686.000000
5,16,26.440064,4.456569,17.344202,25.967568,18.397740
5,17,6464.346724,1047.031324,4526.890400,6594.586500,3940.668200
5,18,187.972730,17.113411,70.307070,190.534435,145.901460
5,2,6125.976810,876.007699,3761.742100,6205.942450,4572.506900
5,3,415663810.200000,143597650.582673,611217410.000000,400226615.000000,180894240.000000
5,4,155061.600300,29023.175110,118753.655000,162110.285000,87810.935000
5,5,40.539904,5.341234,21.016069,40.915733,27.702138
5,6,-32.558694,0.562596,2.543633,-32.475217,-33.981794
5,7,44.975143,1.572691,7.466331,45.331009,39.749443
5,8,109.620729,11.704485,51.600280,119.457990,80.393920
5,9,335.191074,17.211282,86.104320,335.284465,276.213010
6,1,3029.233186,477.489696,2247.992900,3060.946050,1844.781800
6,10,-15502.456680,1187.806170,6224.951000,-15660.105500,-18780.431000
6,11,-9276.439004,1944.657049,6890.173200,-5520.443950,-11769.026000
6,12,7.660597,1.294706,6.111835,7.409376,4.878572
6,13,-14.136458,2.167975,12.225421,-13.937867,-23.350711
6,14,-4.603180,0.812264,4.023835,-4.650160,-6.407744
6,15,1262775.762400,1313474.843012,5711614.823000,302328.540000,20456.677000
6,16,8.086672,3.521701,13.687909,6.030910,1.456585
6,17,373.906676,351.798638,1896.502214,335.899905,50.658086
6,18,128.088203,67.456622,444.700402,153.847900,13.363888
6,2,306.411510,247.627197,1151.027489,319.692510,25.030811
6,3,7532626.549400,9311763.045125,42871038.980000,18612839.350000,122850.020000
6,4,-32180.235432,20721.204365,96385.151000,-42667.281000,-65153.495000
6,5,3.001752,1.559241,7.965829,2.588194,1.110184
6,6,-31.352066,0.947778,4.157343,-31.446024,-33.546855
6,7,53.019332,4.182637,19.681158,53.088518,43.764607
6,8,-17.017620,20.800371,96.617493,1.183401,-58.326646
6,9,176.720565,41.492089,192.044748,191.378255,69.283052
7,1,5693.342856,639.326081,2931.336300,5684.198900,4183.218500
7,10,-8197.200060,616.537020,2981.194700,-8221.448700,-9806.165300
7,11,-7244.468312,1039.757989,5829.040600,-7215.457250,-10669.329000
7,12,4.899066,0.700557,3.255362,4.822285,2.995871
7,13,-10.747022,0.672050,3.202926,-10.741740,-12.698804
7,14,-2.462615,0.311386,1.385882,-2.453466,-3.404340
7,15,7683132.524000,4684608.865447,27364036.800000,5515877.300000,2021164.200000
7,16,11.404783,3.834452,19.683418,22.526647,5.527731
7,17,1440.351707,399.308151,1583.504160,1666.244700,825.197940
7,18,181.880695,31.731639,116.693420,179.652015,133.096170
7,2,1353.851073,443.305720,2224.904330,1607.225050,461.735370
7,3,50554471.460000,30957287.998937,145195741.000000,35339654.500000,14822389.000000
7,4,23265.082832,12630.048896,49691.982700,27855.052000,-2142.997700
7,5,9.237624,2.353212,11.707440,6.498526,5.207060
7,6,-30.497221,0.660978,3.370531,-30.452358,-32.878203
7,7,58.481789,2.859198,11.284121,59.079825,51.264053
7,8,56.245408,13.493167,57.470375,56.872466,31.106875
7,9,272.916019,30.078195,146.315140,275.847105,188.399040
8,1,6531.138234,908.862522,3526.899300,6750.971400,4712.347200
8,10,-8492.327074,1069.250240,4132.244200,-8078.642450,-11109.897000
8,11,-5818.919726,995.006698,4061.750100,-5732.202950,-8226.327700
8,12,7.953003,1.616785,6.465454,7.415715,5.801378
8,13,-12.325283,0.594391,2.452189,-12.299241,-13.494091
8,14,-3.197758,0.415380,1.694608,-3.130842,-4.178559
8,15,302240.379800,401037.010759,2165953.355000,322340.655000,16669.445000
8,16,2.399709,1.294974,5.656303,2.297476,0.302551
8,17,235.754686,148.959960,815.061956,256.210215,30.193734
8,18,73.824602,26.805598,113.087624,61.198708,29.028906
8,2,186.027052,136.140771,677.471996,320.523865,5.819124
8,3,2103049.598180,2857073.839808,12960229.270000,3009385.500000,22633.730000
8,4,-13408.285924,11631.195207,49777.964000,-26707.316500,-36971.040000
8,5,2.338487,1.006169,4.046887,2.098377,1.080603
8,6,-33.077301,0.665083,2.763658,-32.995995,-34.772272
8,7,50.327398,2.367629,8.040677,50.263915,46.423924
8,8,-41.486662,24.772098,109.719435,-49.723161,-72.522457
8,9,79.279060,32.668739,156.692363,63.624207,25.789547
9,1,4179.907160,1387.254259,4886.808700,4216.824800,2302.345400
9,10,-9473.896358,1548.740792,8380.761500,-8640.446850,-15273.795000
9,11,-8133.002776,1758.728828,8008.606600,-7305.370850,-12770.057000
9,12,5.900406,1.009301,4.999217,5.804720,3.703276
9,13,-10.382410,0.793389,3.413409,-11.386605,-12.327889
9,14,-2.436922,0.260930,1.203316,-2.439766,-3.037777
9,15,630700.489840,547822.778602,2459569.564000,338720.815000,21906.936000
9,16,19.968464,13.784428,60.582515,31.483980,4.793003
9,17,342.411143,156.226178,736.892898,349.725905,94.016812
9,18,235.018932,55.488053,265.258930,240.917595,104.432290
9,2,257.292846,135.014265,731.391121,242.107545,92.937209
9,3,5746870.353200,4827320.099334,17758973.620000,3226821.100000,365574.380000
9,4,4270.265577,10127.991176,48362.908000,1486.718853,-20156.187000
9,5,2.528240,0.742008,2.817510,2.292713,1.336183
9,6,-29.962446,0.882985,4.789589,-30.093398,-31.997588
9,7,60.605208,3.223111,15.378948,61.111083,52.743478
9,8,52.994215,16.701564,74.483759,50.308173,20.254807
9,9,216.339741,40.299443,217.913190,215.110670,122.575440
